기간,자치구,중소기업범위초과
2019,서울시,"1,753"
2019,종로구,118
2019,중구,269
2019,용산구,63
2019,성동구,30
2019,광진구,12
2019,동대문구,16
2019,중랑구,5
2019,성북구,3
2019,강북구,2
2019,도봉구,5
2019,노원구,4
2019,은평구,5
2019,서대문구,19
2019,마포구,87
2019,양천구,12
2019,강서구,55
2019,구로구,46
2019,금천구,60
2019,영등포구,179
2019,동작구,17
2019,관악구,5
2019,서초구,174
2019,강남구,460
2019,송파구,82
2019,강동구,25
